text,answer,clue
We {} our dog.,call,infinite call (because of we)
Emma {} in the lessons.,dreams,
They {} at birds.,look,
John {} home from school.,comes,
I {} my friends.,meet,
He {} the laptop.,repairs,
Walter and Frank {} hello.,say,
The cat {} under the tree.,sits,
You {} water.,drink,
She {} the lunchbox.,forgets,
I {} good marks.,get,
Rita {} exercises.,does,
We often {} the table.,lay,
Tim and Pat {} pictures.,upload,
Oliver always {} fun.,has,
Maria sometimes {} their room.,tidies up,
He often {} new shoes.,buys,
The dog never {} out of the house.,runs,
You {} your glasses.,need,
She {} snakes.,touches,
